id,speaker_id,event_id,presentation_titles,stage_order
24,19,24,How Social Media Shapes Modern Psychology,1
24,27,24,The Psychology of Consumer Behavior: How Marketing Influences Decisions,1
24,60,24,Bridging Gaps in Education: The Role of Online Platforms,1
24,10,24,Content Marketing in the Age of AI: Balancing Creativity and Automation,1
25,62,25,Decoding Personal Finance: From Budgeting to Investments,1
25,29,25,The Role of Dopamine in Motivation and Behavior,1
25,34,25,The Art of Negotiation: Building Better Business Relationships,1
25,37,25,Understanding Emotional Intelligence: Key to Personal and Professional Success,1
25,6,25,The Impact of Wearable Tech on Personal Fitness Goals,1
25,3,25,Decoding Personal Finance: From Budgeting to Investments,1
25,19,25,The Role of Dopamine in Motivation and Behavior,1
25,30,25,Building Resilient Teams: Lessons from Sports Leadership,1
25,67,25,The Impact of Wearable Tech on Personal Fitness Goals,1
25,44,25,The Role of 5G in Bridging the Digital Divide,1
25,16,25,Debunking Fitness Myths: What Really Works?,1
25,43,25,Preserving Indigenous Cultures in a Globalized World,1
25,47,25,Exploring Renewable Energy: Advances in Solar and Wind Power,1
26,35,26,Blockchain Beyond Cryptocurrencies: Revolutionizing Digital Transactions,1
26,17,26,Exploring Renewable Energy: Advances in Solar and Wind Power,1
26,16,26,Debunking Fitness Myths: What Really Works?,1
26,58,26,Content Marketing in the Age of AI: Balancing Creativity and Automation,1
26,43,26,Preserving Indigenous Cultures in a Globalized World,1
26,30,26,Transformational Leadership: Inspiring Change in Organizations,1
26,18,26,The Science of Sleep: How It Affects Productivity and Longevity,1
27,42,27,Progressive Web Apps: The Future of Mobile Experiences,1
27,64,27,How Social Media Shapes Modern Psychology,1
27,31,27,The Evolution of Digital Art in the NFT Era,1
27,35,27,The Future of Quantum Computing: Possibilities and Challenges,1
27,3,27,Decoding Personal Finance: From Budgeting to Investments,1
27,56,27,Progressive Web Apps: The Future of Mobile Experiences,1
27,68,27,CRISPR and Gene Editing: Ethical Implications and Innovations,1
28,65,28,Transformational Leadership: Inspiring Change in Organizations,1
28,70,28,Decoding Personal Finance: From Budgeting to Investments,1
28,1,28,The Impact of Wearable Tech on Personal Fitness Goals,1
28,22,28,The Science of Sleep: How It Affects Productivity and Longevity,1
28,51,28,Sports Psychology: Mental Conditioning for Peak Performance,1
28,69,28,Leveraging Social Media for Business Growth in 2024,1
28,10,28,The Psychology of Consumer Behavior: How Marketing Influences Decisions,1
28,62,28,Crypto vs. Traditional Finance: The Great Debate,1
29,17,29,Exploring Renewable Energy: Advances in Solar and Wind Power,1
29,39,29,Global Market Trends: Opportunities for Emerging Entrepreneurs,1
29,49,29,Urban Farming: The Future of Sustainable Food Production,1
29,32,29,Progressive Web Apps: The Future of Mobile Experiences,1
29,43,29,Preserving Indigenous Cultures in a Globalized World,1
29,37,29,Understanding Emotional Intelligence: Key to Personal and Professional Success,1
29,23,29,Crypto vs. Traditional Finance: The Great Debate,1
29,67,29,The Impact of Wearable Tech on Personal Fitness Goals,1
29,60,29,Bridging Gaps in Education: The Role of Online Platforms,1
29,30,29,The Role of Failure in Entrepreneurial Success,1
29,28,29,Startup Survival: Scaling from Idea to Execution,1
29,1,29,The Impact of Wearable Tech on Personal Fitness Goals,1
29,15,29,The Rise of FinTech: Transforming Financial Services,1
29,9,29,The Role of Technology in Modern Healthcare: Telemedicine and Beyond,1
29,20,29,The Science of Sleep: How It Affects Productivity and Longevity,1
30,35,30,Blockchain Beyond Cryptocurrencies: Revolutionizing Digital Transactions,1
30,43,30,The Role of Art in Activism and Social Change,1
30,25,30,Decoding Personal Finance: From Budgeting to Investments,1
30,24,30,The Psychology of Consumer Behavior: How Marketing Influences Decisions,1
30,5,30,Mind-Body Connection: Yoga for Physical and Mental Wellness,1
30,61,30,CRISPR and Gene Editing: Ethical Implications and Innovations,1
30,33,30,The Role of 5G in Bridging the Digital Divide,1
30,32,30,The Future of Quantum Computing: Possibilities and Challenges,1
31,65,31,Transformational Leadership: Inspiring Change in Organizations,1
31,2,31,Global Market Trends: Opportunities for Emerging Entrepreneurs,1
31,34,31,Digital Transformation: The Future of Small and Medium Businesses,1
31,60,31,The Impact of AI on Personalized Learning Experiences,1
31,22,31,The Science of Sleep: How It Affects Productivity and Longevity,1
31,1,31,Mind-Body Connection: Yoga for Physical and Mental Wellness,1
31,42,31,The Future of Quantum Computing: Possibilities and Challenges,1
31,66,31,Content Marketing in the Age of AI: Balancing Creativity and Automation,1
31,70,31,The Rise of FinTech: Transforming Financial Services,1
31,13,31,The Role of Dopamine in Motivation and Behavior,1
31,17,31,CRISPR and Gene Editing: Ethical Implications and Innovations,1
31,67,31,The Impact of Wearable Tech on Personal Fitness Goals,1
31,58,31,Leveraging Social Media for Business Growth in 2024,1
32,68,32,CRISPR and Gene Editing: Ethical Implications and Innovations,1
32,43,32,The Role of Art in Activism and Social Change,1
32,53,32,Startup Survival: Scaling from Idea to Execution,1
32,33,32,The Role of 5G in Bridging the Digital Divide,1
33,46,33,The Impact of Technology on Sports Performance and Training,1
33,61,33,The Mysteries of Space: What We’ve Learned from the James Webb Telescope,1
33,59,33,The Role of Corporations in Achieving Global Sustainability Goals,1
33,38,33,Exploring Renewable Energy: Advances in Solar and Wind Power,1
33,52,33,The Future of Quantum Computing: Possibilities and Challenges,1
34,8,34,Content Marketing in the Age of AI: Balancing Creativity and Automation,1
34,28,34,Networking Strategies for Aspiring Entrepreneurs,1
34,38,34,CRISPR and Gene Editing: Ethical Implications and Innovations,1
34,30,34,The Role of Failure in Entrepreneurial Success,1
34,52,34,The Future of Quantum Computing: Possibilities and Challenges,1
34,15,34,Decoding Personal Finance: From Budgeting to Investments,1
34,45,34,The Mysteries of Space: What We’ve Learned from the James Webb Telescope,1
34,55,34,Circular Economy: Reducing Waste and Maximizing Resources,1
34,9,34,Mental Health Awareness in the Digital Age,1
34,29,34,Understanding Emotional Intelligence: Key to Personal and Professional Success,1
34,11,34,Circular Economy: Reducing Waste and Maximizing Resources,1
34,7,34,Decoding Personal Finance: From Budgeting to Investments,1
34,60,34,Bridging Gaps in Education: The Role of Online Platforms,1
34,70,34,The Rise of FinTech: Transforming Financial Services,1
34,36,34,Sports Psychology: Mental Conditioning for Peak Performance,1
35,22,35,Mental Health Awareness in the Digital Age,1
35,17,35,Exploring Renewable Energy: Advances in Solar and Wind Power,1
35,45,35,CRISPR and Gene Editing: Ethical Implications and Innovations,1
35,53,35,Building Resilient Teams: Lessons from Sports Leadership,1
35,18,35,Mental Health Awareness in the Digital Age,1
35,63,35,Digital Transformation: The Future of Small and Medium Businesses,1
35,61,35,CRISPR and Gene Editing: Ethical Implications and Innovations,1
35,51,35,The Impact of Technology on Sports Performance and Training,1
35,31,35,The Role of Art in Activism and Social Change,1
35,12,35,Design Thinking: A Framework for Innovation in Any Field,1
35,9,35,The Role of Technology in Modern Healthcare: Telemedicine and Beyond,1
36,56,36,Blockchain Beyond Cryptocurrencies: Revolutionizing Digital Transactions,1
36,63,36,Digital Transformation: The Future of Small and Medium Businesses,1
36,57,36,How AI Is Reshaping the Innovation Landscape,1
36,66,36,Content Marketing in the Age of AI: Balancing Creativity and Automation,1
36,59,36,The Role of Corporations in Achieving Global Sustainability Goals,1
36,20,36,The Science of Sleep: How It Affects Productivity and Longevity,1
37,35,37,The Future of Quantum Computing: Possibilities and Challenges,1
37,38,37,Exploring Renewable Energy: Advances in Solar and Wind Power,1
37,2,37,Global Market Trends: Opportunities for Emerging Entrepreneurs,1
37,8,37,Leveraging Social Media for Business Growth in 2024,1
37,30,37,Networking Strategies for Aspiring Entrepreneurs,1
37,19,37,How Social Media Shapes Modern Psychology,1
37,43,37,The Evolution of Digital Art in the NFT Era,1
37,23,37,The Rise of FinTech: Transforming Financial Services,1
37,33,37,The Future of Quantum Computing: Possibilities and Challenges,1
38,28,38,Startup Survival: Scaling from Idea to Execution,1
38,25,38,Decoding Personal Finance: From Budgeting to Investments,1
38,33,38,Blockchain Beyond Cryptocurrencies: Revolutionizing Digital Transactions,1
38,26,38,Building Resilient Teams: Lessons from Sports Leadership,1
38,42,38,The Future of Quantum Computing: Possibilities and Challenges,1
39,57,39,Disruptive Innovations That Changed Entire Industries,1
39,42,39,Blockchain Beyond Cryptocurrencies: Revolutionizing Digital Transactions,1
39,22,39,The Role of Technology in Modern Healthcare: Telemedicine and Beyond,1
39,21,39,How AI Is Reshaping the Innovation Landscape,1
39,19,39,How Social Media Shapes Modern Psychology,1
40,43,40,The Role of Art in Activism and Social Change,1
40,42,40,The Role of 5G in Bridging the Digital Divide,1
40,62,40,Decoding Personal Finance: From Budgeting to Investments,1
40,23,40,Crypto vs. Traditional Finance: The Great Debate,1
40,50,40,Mind-Body Connection: Yoga for Physical and Mental Wellness,1
40,41,40,The Impact of AI on Personalized Learning Experiences,1
40,34,40,Digital Transformation: The Future of Small and Medium Businesses,1
40,10,40,Content Marketing in the Age of AI: Balancing Creativity and Automation,1
40,59,40,Urban Farming: The Future of Sustainable Food Production,1
40,26,40,Transformational Leadership: Inspiring Change in Organizations,1
41,20,41,The Role of Technology in Modern Healthcare: Telemedicine and Beyond,1
41,21,41,Disruptive Innovations That Changed Entire Industries,1
41,65,41,The Role of Empathy in Modern Leadership,1
41,22,41,The Science of Sleep: How It Affects Productivity and Longevity,1
41,69,41,Leveraging Social Media for Business Growth in 2024,1
41,53,41,Building Resilient Teams: Lessons from Sports Leadership,1
41,8,41,Content Marketing in the Age of AI: Balancing Creativity and Automation,1
41,30,41,The Role of Failure in Entrepreneurial Success,1
41,7,41,Decoding Personal Finance: From Budgeting to Investments,1
41,48,41,Leveraging Social Media for Business Growth in 2024,1
41,45,41,The Mysteries of Space: What We’ve Learned from the James Webb Telescope,1
41,11,41,Urban Farming: The Future of Sustainable Food Production,1
42,17,42,The Mysteries of Space: What We’ve Learned from the James Webb Telescope,1
43,30,43,The Role of Failure in Entrepreneurial Success,1
43,31,43,The Role of Art in Activism and Social Change,1
43,66,43,The Psychology of Consumer Behavior: How Marketing Influences Decisions,1
43,16,43,The Impact of Wearable Tech on Personal Fitness Goals,1
43,64,43,The Role of Dopamine in Motivation and Behavior,1
43,33,43,Web Development in the AI Era: Opportunities and Challenges,1
43,36,43,The Impact of Technology on Sports Performance and Training,1
43,7,43,Decoding Personal Finance: From Budgeting to Investments,1
43,62,43,The Rise of FinTech: Transforming Financial Services,1
43,21,43,How AI Is Reshaping the Innovation Landscape,1
43,49,43,Circular Economy: Reducing Waste and Maximizing Resources,1
43,59,43,The Role of Corporations in Achieving Global Sustainability Goals,1
43,65,43,Startup Survival: Scaling from Idea to Execution,1
43,45,43,The Mysteries of Space: What We’ve Learned from the James Webb Telescope,1
43,43,43,The Evolution of Digital Art in the NFT Era,1
44,59,44,Circular Economy: Reducing Waste and Maximizing Resources,1
44,45,44,CRISPR and Gene Editing: Ethical Implications and Innovations,1
44,21,44,Disruptive Innovations That Changed Entire Industries,1
44,35,44,Progressive Web Apps: The Future of Mobile Experiences,1
44,57,44,Design Thinking: A Framework for Innovation in Any Field,1
44,11,44,Circular Economy: Reducing Waste and Maximizing Resources,1
44,3,44,The Rise of FinTech: Transforming Financial Services,1
44,65,44,Networking Strategies for Aspiring Entrepreneurs,1
44,18,44,The Role of Technology in Modern Healthcare: Telemedicine and Beyond,1
44,62,44,Crypto vs. Traditional Finance: The Great Debate,1
44,34,44,Digital Transformation: The Future of Small and Medium Businesses,1
45,28,45,Networking Strategies for Aspiring Entrepreneurs,1
45,40,45,Disruptive Innovations That Changed Entire Industries,1
45,60,45,The Impact of AI on Personalized Learning Experiences,1
45,62,45,Decoding Personal Finance: From Budgeting to Investments,1
45,64,45,Understanding Emotional Intelligence: Key to Personal and Professional Success,1
45,30,45,Networking Strategies for Aspiring Entrepreneurs,1
45,4,45,Urban Farming: The Future of Sustainable Food Production,1
45,9,45,The Role of Technology in Modern Healthcare: Telemedicine and Beyond,1
45,67,45,The Impact of Wearable Tech on Personal Fitness Goals,1
45,5,45,The Impact of Wearable Tech on Personal Fitness Goals,1
45,23,45,Decoding Personal Finance: From Budgeting to Investments,1
45,55,45,Urban Farming: The Future of Sustainable Food Production,1
46,31,46,The Role of Art in Activism and Social Change,1
46,29,46,How Social Media Shapes Modern Psychology,1
46,37,46,The Role of Dopamine in Motivation and Behavior,1
46,22,46,The Role of Technology in Modern Healthcare: Telemedicine and Beyond,1
46,19,46,Understanding Emotional Intelligence: Key to Personal and Professional Success,1
46,25,46,Decoding Personal Finance: From Budgeting to Investments,1
46,34,46,Digital Transformation: The Future of Small and Medium Businesses,1
46,66,46,Content Marketing in the Age of AI: Balancing Creativity and Automation,1
46,6,46,The Impact of Wearable Tech on Personal Fitness Goals,1
46,18,46,The Science of Sleep: How It Affects Productivity and Longevity,1
47,60,47,The Impact of AI on Personalized Learning Experiences,1
47,25,47,Crypto vs. Traditional Finance: The Great Debate,1
47,20,47,The Science of Sleep: How It Affects Productivity and Longevity,1
47,44,47,Progressive Web Apps: The Future of Mobile Experiences,1
47,43,47,Preserving Indigenous Cultures in a Globalized World,1
47,16,47,The Impact of Wearable Tech on Personal Fitness Goals,1
47,7,47,Crypto vs. Traditional Finance: The Great Debate,1
47,53,47,Networking Strategies for Aspiring Entrepreneurs,1
47,26,47,Startup Survival: Scaling from Idea to Execution,1
47,1,47,Mind-Body Connection: Yoga for Physical and Mental Wellness,1
47,13,47,Understanding Emotional Intelligence: Key to Personal and Professional Success,1
47,12,47,How AI Is Reshaping the Innovation Landscape,1
48,12,48,Design Thinking: A Framework for Innovation in Any Field,1
48,3,48,Crypto vs. Traditional Finance: The Great Debate,1
48,22,48,The Science of Sleep: How It Affects Productivity and Longevity,1
48,48,48,Content Marketing in the Age of AI: Balancing Creativity and Automation,1
48,31,48,Preserving Indigenous Cultures in a Globalized World,1
48,57,48,Disruptive Innovations That Changed Entire Industries,1
49,16,49,Mind-Body Connection: Yoga for Physical and Mental Wellness,1
49,65,49,Networking Strategies for Aspiring Entrepreneurs,1
49,58,49,Content Marketing in the Age of AI: Balancing Creativity and Automation,1
49,17,49,CRISPR and Gene Editing: Ethical Implications and Innovations,1
49,66,49,Leveraging Social Media for Business Growth in 2024,1
49,60,49,Bridging Gaps in Education: The Role of Online Platforms,1
49,10,49,Content Marketing in the Age of AI: Balancing Creativity and Automation,1
49,32,49,Blockchain Beyond Cryptocurrencies: Revolutionizing Digital Transactions,1
49,46,49,Sports Psychology: Mental Conditioning for Peak Performance,1
49,23,49,Decoding Personal Finance: From Budgeting to Investments,1
49,54,49,The Impact of Wearable Tech on Personal Fitness Goals,1
50,15,50,Decoding Personal Finance: From Budgeting to Investments,1
50,51,50,Sports Psychology: Mental Conditioning for Peak Performance,1
50,53,50,Transformational Leadership: Inspiring Change in Organizations,1
50,17,50,Exploring Renewable Energy: Advances in Solar and Wind Power,1
50,69,50,Content Marketing in the Age of AI: Balancing Creativity and Automation,1
50,60,50,Bridging Gaps in Education: The Role of Online Platforms,1
50,64,50,Understanding Emotional Intelligence: Key to Personal and Professional Success,1
50,30,50,Transformational Leadership: Inspiring Change in Organizations,1
50,36,50,The Impact of Technology on Sports Performance and Training,1
50,41,50,Bridging Gaps in Education: The Role of Online Platforms,1
50,29,50,Understanding Emotional Intelligence: Key to Personal and Professional Success,1
50,57,50,Disruptive Innovations That Changed Entire Industries,1
