id,user_id,event_id,ticket_price,payment_method,status,date
55,422,2,300,Debit Card,accepted,2020-02-08
56,613,2,300,Cash,rejected,2020-02-08
57,2266,2,300,Paypal,accepted,2020-02-08
58,566,2,400,Debit Card,accepted,2020-02-08
59,279,2,600,Paypal,rejected,2020-02-08
60,1802,2,600,Cash,rejected,2020-02-08
61,551,2,300,Debit Card,accepted,2020-02-08
62,896,2,600,Cash,accepted,2020-02-08
63,1528,2,600,Cash,rejected,2020-02-08
64,2088,2,400,Cash,accepted,2020-02-08
65,25,2,300,Cash,accepted,2020-02-08
66,486,2,300,Paypal,accepted,2020-02-08
67,2431,2,300,Cash,accepted,2020-02-08
68,778,2,600,Paypal,accepted,2020-02-08
69,1013,2,400,Cash,rejected,2020-02-08
70,176,2,600,Paypal,accepted,2020-02-08
71,1170,2,300,Debit Card,accepted,2020-02-08
72,1623,2,300,Debit Card,rejected,2020-02-08
73,2219,2,300,Debit Card,accepted,2020-02-08
74,667,2,300,Paypal,accepted,2020-02-08
75,1778,2,600,Cash,rejected,2020-02-08
76,469,2,300,Cash,accepted,2020-02-08
77,2001,2,600,Paypal,accepted,2020-02-08
78,1206,2,600,Debit Card,accepted,2020-02-08
79,1265,2,300,Cash,rejected,2020-02-08
80,1500,2,300,Cash,accepted,2020-02-08
81,1239,2,600,Debit Card,rejected,2020-02-08
82,746,2,400,Paypal,accepted,2020-02-08
83,96,2,600,Debit Card,accepted,2020-02-08
84,787,2,300,Cash,rejected,2020-02-08
85,1826,2,600,Cash,accepted,2020-02-08
86,1780,2,300,Debit Card,rejected,2020-02-08
87,1151,2,400,Cash,accepted,2020-02-08
88,2407,2,400,Cash,accepted,2020-02-08
89,2456,2,600,Debit Card,accepted,2020-02-08
90,1907,2,400,Debit Card,rejected,2020-02-08
91,2252,2,400,Cash,accepted,2020-02-08
92,2399,2,300,Cash,accepted,2020-02-08
93,197,2,600,Paypal,accepted,2020-02-08
94,1094,2,300,Cash,accepted,2020-02-08
95,741,2,400,Cash,accepted,2020-02-08
96,920,2,400,Debit Card,accepted,2020-02-08
97,1325,2,600,Cash,accepted,2020-02-08
98,937,2,300,Debit Card,accepted,2020-02-08
99,1310,2,300,Debit Card,accepted,2020-02-08
100,2196,2,600,Cash,accepted,2020-02-08
101,567,2,600,Cash,accepted,2020-02-08
102,973,2,400,Cash,accepted,2020-02-08
103,495,2,600,Cash,rejected,2020-02-08
104,220,2,400,Debit Card,accepted,2020-02-08
105,2204,2,300,Paypal,rejected,2020-02-08
106,1083,2,600,Cash,accepted,2020-02-08
107,869,2,300,Cash,accepted,2020-02-08
108,2048,2,600,Debit Card,accepted,2020-02-08
109,1337,2,300,Cash,accepted,2020-02-08
110,460,2,400,Cash,accepted,2020-02-08
111,2066,2,300,Paypal,accepted,2020-02-08
112,1567,2,300,Paypal,accepted,2020-02-08
113,1062,2,600,Cash,accepted,2020-02-08
114,1017,2,400,Paypal,accepted,2020-02-08
115,270,2,600,Cash,accepted,2020-02-08
116,980,2,300,Cash,accepted,2020-02-08
117,1069,2,400,Paypal,accepted,2020-02-08
118,1997,2,400,Cash,accepted,2020-02-08
119,592,2,400,Debit Card,accepted,2020-02-08
120,1485,2,400,Cash,accepted,2020-02-08
121,2015,2,600,Cash,rejected,2020-02-08
122,1126,2,600,Cash,accepted,2020-02-08
123,2,2,400,Paypal,rejected,2020-02-08
124,1617,2,300,Paypal,rejected,2020-02-08
125,172,2,400,Paypal,accepted,2020-02-08
126,785,2,400,Cash,accepted,2020-02-08
127,1266,2,300,Paypal,accepted,2020-02-08
128,626,2,600,Paypal,accepted,2020-02-08
129,1596,2,400,Paypal,accepted,2020-02-08
130,1336,2,400,Paypal,accepted,2020-02-08
131,2274,2,600,Cash,rejected,2020-02-08
132,766,2,300,Cash,accepted,2020-02-08
133,1749,2,300,Debit Card,accepted,2020-02-08
134,593,2,400,Cash,rejected,2020-02-08
135,1976,2,400,Paypal,rejected,2020-02-08
136,1027,2,400,Cash,accepted,2020-02-08
137,1194,2,400,Cash,accepted,2020-02-08
138,476,2,400,Cash,accepted,2020-02-08
139,1747,2,600,Cash,rejected,2020-02-08
140,1257,2,400,Paypal,accepted,2020-02-08
141,387,2,300,Cash,accepted,2020-02-08
142,307,2,400,Debit Card,accepted,2020-02-08
143,2215,2,400,Paypal,accepted,2020-02-08
144,857,2,400,Cash,accepted,2020-02-08
145,1775,2,400,Cash,accepted,2020-02-08
146,2265,2,600,Debit Card,accepted,2020-02-08
147,623,2,600,Debit Card,accepted,2020-02-08
148,1231,2,600,Cash,rejected,2020-02-08
149,1668,2,600,Debit Card,accepted,2020-02-08
150,112,2,300,Paypal,accepted,2020-02-08
151,236,2,300,Cash,accepted,2020-02-08
152,2318,2,600,Debit Card,accepted,2020-02-08
153,92,2,400,Debit Card,accepted,2020-02-08
154,1359,2,300,Cash,rejected,2020-02-08
155,874,2,600,Cash,rejected,2020-02-08
156,2047,2,600,Cash,accepted,2020-02-08
157,1448,2,300,Cash,accepted,2020-02-08
158,535,2,600,Debit Card,accepted,2020-02-08
159,1026,2,600,Debit Card,rejected,2020-02-08
160,1272,2,400,Paypal,accepted,2020-02-08
161,1785,2,300,Cash,accepted,2020-02-08
162,281,2,400,Paypal,accepted,2020-02-08
163,390,2,600,Cash,rejected,2020-02-08
164,1832,2,400,Cash,rejected,2020-02-08
165,2206,2,400,Paypal,accepted,2020-02-08
166,913,2,400,Debit Card,accepted,2020-02-08
167,616,2,600,Cash,accepted,2020-02-08
168,1291,2,600,Debit Card,accepted,2020-02-08
169,2372,2,600,Debit Card,accepted,2020-02-08
170,1928,2,600,Debit Card,accepted,2020-02-08
171,2385,2,300,Cash,accepted,2020-02-08
172,2143,2,400,Paypal,accepted,2020-02-08
173,930,2,300,Cash,accepted,2020-02-08
174,2460,2,600,Paypal,rejected,2020-02-08
175,509,2,400,Cash,accepted,2020-02-08
176,2217,2,400,Paypal,accepted,2020-02-08
177,2197,2,300,Cash,rejected,2020-02-08
178,2242,2,300,Paypal,accepted,2020-02-08
179,365,2,400,Cash,accepted,2020-02-08
180,1689,2,300,Cash,accepted,2020-02-08
181,668,2,400,Debit Card,accepted,2020-02-08
182,369,2,400,Paypal,accepted,2020-02-08
183,1045,2,400,Paypal,accepted,2020-02-08
184,1312,2,300,Cash,accepted,2020-02-08
185,1164,2,600,Paypal,accepted,2020-02-08
186,1752,2,300,Paypal,accepted,2020-02-08
187,2075,2,300,Paypal,accepted,2020-02-08
188,2096,2,600,Paypal,accepted,2020-02-08
189,359,2,300,Cash,rejected,2020-02-08
190,446,2,400,Paypal,accepted,2020-02-08
191,1756,2,600,Cash,accepted,2020-02-08
192,634,2,400,Paypal,rejected,2020-02-08
193,293,2,300,Cash,accepted,2020-02-08
194,1696,2,300,Debit Card,accepted,2020-02-08
195,1813,2,300,Debit Card,accepted,2020-02-08
196,231,2,400,Cash,accepted,2020-02-08
197,332,2,300,Debit Card,rejected,2020-02-08
198,1037,2,300,Debit Card,accepted,2020-02-08
199,1983,2,600,Cash,accepted,2020-02-08
200,1521,2,300,Debit Card,accepted,2020-02-08
201,1902,2,300,Cash,accepted,2020-02-08
202,1888,2,400,Cash,accepted,2020-02-08
203,2125,2,400,Cash,accepted,2020-02-08
204,1093,2,300,Cash,rejected,2020-02-08
205,1458,2,300,Cash,accepted,2020-02-08
206,1023,2,600,Debit Card,rejected,2020-02-08
207,1570,2,600,Cash,accepted,2020-02-08
208,1957,2,300,Cash,accepted,2020-02-08
209,2113,2,400,Debit Card,accepted,2020-02-08
210,1280,2,600,Cash,accepted,2020-02-08
211,408,2,300,Paypal,accepted,2020-02-08
212,1189,2,600,Paypal,rejected,2020-02-08
213,2133,2,300,Cash,accepted,2020-02-08
214,1289,2,400,Cash,accepted,2020-02-08
215,35,2,400,Paypal,accepted,2020-02-08
216,1970,2,600,Debit Card,accepted,2020-02-08
217,238,2,300,Paypal,rejected,2020-02-08
218,1131,2,600,Paypal,accepted,2020-02-08
219,1015,2,400,Paypal,accepted,2020-02-08
220,2264,2,300,Cash,accepted,2020-02-08
221,1901,2,600,Cash,accepted,2020-02-08
222,1932,2,300,Cash,accepted,2020-02-08
223,1963,2,400,Paypal,accepted,2020-02-08
224,1884,2,300,Cash,rejected,2020-02-08
225,1514,2,300,Debit Card,rejected,2020-02-08
226,1082,2,400,Cash,accepted,2020-02-08
227,315,2,400,Cash,accepted,2020-02-08
228,677,2,400,Cash,accepted,2020-02-08
229,627,2,600,Cash,rejected,2020-02-08
230,1726,2,300,Debit Card,rejected,2020-02-08
231,1934,2,400,Cash,accepted,2020-02-08
232,734,2,400,Cash,accepted,2020-02-08
233,2379,2,400,Debit Card,rejected,2020-02-08
234,310,2,600,Cash,accepted,2020-02-08
235,73,2,600,Debit Card,accepted,2020-02-08
236,1349,2,300,Cash,accepted,2020-02-08
237,870,2,400,Cash,accepted,2020-02-08
238,2079,2,400,Paypal,accepted,2020-02-08
239,911,2,400,Paypal,accepted,2020-02-08
240,1881,2,600,Cash,accepted,2020-02-08
241,2395,2,400,Debit Card,accepted,2020-02-08
242,1779,2,300,Debit Card,accepted,2020-02-08
243,45,2,400,Paypal,rejected,2020-02-08
244,2084,2,400,Debit Card,rejected,2020-02-08
245,199,2,600,Cash,accepted,2020-02-08
246,227,2,300,Debit Card,rejected,2020-02-08
247,647,2,400,Cash,accepted,2020-02-08
248,1218,2,600,Cash,accepted,2020-02-08
249,576,2,400,Debit Card,accepted,2020-02-08
250,1130,2,400,Cash,accepted,2020-02-08
251,2211,2,300,Paypal,accepted,2020-02-08
252,604,3,600,Cash,rejected,2020-11-20
253,1411,3,600,Debit Card,accepted,2020-11-20
254,2019,3,300,Cash,accepted,2020-11-20
255,693,3,600,Cash,accepted,2020-11-20
256,1822,3,600,Debit Card,rejected,2020-11-20
257,2290,3,400,Cash,rejected,2020-11-20
258,1889,3,300,Paypal,rejected,2020-11-20
259,1151,3,400,Cash,accepted,2020-11-20
260,556,3,600,Debit Card,rejected,2020-11-20
261,1672,3,600,Cash,accepted,2020-11-20
262,403,3,600,Cash,rejected,2020-11-20
263,980,3,400,Cash,accepted,2020-11-20
264,2171,3,400,Cash,accepted,2020-11-20
265,527,3,400,Cash,accepted,2020-11-20
266,1812,3,400,Debit Card,accepted,2020-11-20
267,146,3,600,Debit Card,accepted,2020-11-20
268,866,3,300,Paypal,accepted,2020-11-20
269,1851,3,300,Cash,accepted,2020-11-20
270,633,3,300,Cash,accepted,2020-11-20
271,593,3,400,Cash,rejected,2020-11-20
272,1090,3,400,Paypal,rejected,2020-11-20
273,160,3,600,Cash,accepted,2020-11-20
274,2345,3,300,Cash,accepted,2020-11-20
275,2201,3,600,Debit Card,accepted,2020-11-20
276,951,3,300,Cash,accepted,2020-11-20
277,176,3,400,Cash,accepted,2020-11-20
278,1660,3,600,Cash,rejected,2020-11-20
279,248,3,400,Paypal,accepted,2020-11-20
280,2456,3,300,Cash,accepted,2020-11-20
281,671,3,400,Cash,accepted,2020-11-20
282,1189,3,400,Cash,accepted,2020-11-20
283,531,3,300,Cash,accepted,2020-11-20
284,1842,3,300,Cash,accepted,2020-11-20
285,742,3,400,Debit Card,rejected,2020-11-20
286,1904,3,600,Cash,rejected,2020-11-20
287,175,3,300,Cash,accepted,2020-11-20
288,2225,3,600,Paypal,accepted,2020-11-20
289,2348,3,400,Cash,accepted,2020-11-20
290,73,3,300,Debit Card,accepted,2020-11-20
291,1142,3,300,Cash,accepted,2020-11-20
292,870,3,400,Debit Card,accepted,2020-11-20
293,1095,3,600,Debit Card,accepted,2020-11-20
294,1806,3,300,Cash,accepted,2020-11-20
295,1986,3,400,Debit Card,accepted,2020-11-20
296,2410,3,600,Paypal,accepted,2020-11-20
297,1002,3,400,Debit Card,rejected,2020-11-20
298,1046,3,600,Debit Card,accepted,2020-11-20
299,1969,3,600,Paypal,accepted,2020-11-20
300,554,3,300,Debit Card,accepted,2020-11-20
301,2472,3,400,Paypal,accepted,2020-11-20
302,1493,3,300,Paypal,accepted,2020-11-20
303,2263,3,300,Cash,accepted,2020-11-20
304,1061,3,400,Cash,accepted,2020-11-20
305,277,3,600,Cash,accepted,2020-11-20
306,525,3,600,Paypal,accepted,2020-11-20
307,298,3,300,Cash,accepted,2020-11-20
308,2293,3,400,Paypal,accepted,2020-11-20
309,1445,3,600,Debit Card,rejected,2020-11-20
310,133,3,300,Paypal,accepted,2020-11-20
311,1177,3,300,Debit Card,accepted,2020-11-20
312,623,3,400,Debit Card,accepted,2020-11-20
313,2116,3,600,Cash,accepted,2020-11-20
314,457,3,400,Paypal,rejected,2020-11-20
315,2039,3,400,Cash,accepted,2020-11-20
316,1021,3,300,Paypal,accepted,2020-11-20
317,2140,3,400,Debit Card,accepted,2020-11-20
318,105,3,600,Paypal,accepted,2020-11-20
319,211,3,300,Debit Card,accepted,2020-11-20
320,514,3,400,Paypal,accepted,2020-11-20
321,771,3,400,Cash,accepted,2020-11-20
322,1205,3,300,Cash,accepted,2020-11-20
323,2233,3,300,Cash,accepted,2020-11-20
324,1161,3,600,Cash,accepted,2020-11-20
325,769,3,300,Debit Card,accepted,2020-11-20
326,1269,3,600,Debit Card,accepted,2020-11-20
327,1813,3,400,Cash,accepted,2020-11-20
328,2041,4,500,Paypal,accepted,2021-03-07
329,748,4,1000,Cash,accepted,2021-03-07
330,2168,4,1000,Cash,accepted,2021-03-07
331,873,4,2000,Cash,accepted,2021-03-07
332,1045,4,700,Debit Card,accepted,2021-03-07
333,1704,4,500,Debit Card,rejected,2021-03-07
334,1211,4,700,Debit Card,accepted,2021-03-07
335,1981,4,500,Cash,accepted,2021-03-07
336,308,4,1000,Paypal,accepted,2021-03-07
337,934,4,1000,Cash,accepted,2021-03-07
338,435,4,700,Cash,accepted,2021-03-07
339,1425,4,700,Paypal,accepted,2021-03-07
340,110,4,500,Paypal,rejected,2021-03-07
341,2069,4,1000,Cash,rejected,2021-03-07
342,2319,4,700,Debit Card,accepted,2021-03-07
343,216,4,700,Cash,rejected,2021-03-07
344,1430,4,1000,Debit Card,accepted,2021-03-07
345,820,4,2000,Debit Card,accepted,2021-03-07
346,1937,4,700,Cash,accepted,2021-03-07
347,1734,4,700,Cash,rejected,2021-03-07
348,1478,4,1000,Cash,accepted,2021-03-07
349,697,4,500,Cash,accepted,2021-03-07
350,683,4,1000,Cash,rejected,2021-03-07
351,1643,4,2000,Cash,accepted,2021-03-07
352,467,4,500,Debit Card,accepted,2021-03-07
353,429,4,500,Debit Card,rejected,2021-03-07
354,1191,4,1000,Cash,accepted,2021-03-07
355,1253,4,2000,Debit Card,accepted,2021-03-07
356,1329,4,1000,Cash,accepted,2021-03-07
357,1711,4,1000,Debit Card,accepted,2021-03-07
358,501,4,2000,Cash,accepted,2021-03-07
359,2233,4,1000,Paypal,rejected,2021-03-07
360,495,4,1000,Debit Card,rejected,2021-03-07
361,965,4,500,Cash,accepted,2021-03-07
362,689,4,700,Debit Card,accepted,2021-03-07
363,2266,4,1000,Debit Card,accepted,2021-03-07
364,1038,4,700,Paypal,accepted,2021-03-07
365,58,4,500,Cash,accepted,2021-03-07
366,1767,4,500,Cash,rejected,2021-03-07
367,2129,4,700,Cash,accepted,2021-03-07
368,31,4,1000,Debit Card,accepted,2021-03-07
369,1917,4,2000,Cash,accepted,2021-03-07
370,2007,4,2000,Cash,rejected,2021-03-07
371,1006,4,2000,Cash,accepted,2021-03-07
372,558,4,700,Cash,accepted,2021-03-07
373,685,4,500,Cash,rejected,2021-03-07
374,1340,4,1000,Debit Card,accepted,2021-03-07
375,2165,4,2000,Cash,accepted,2021-03-07
376,319,4,1000,Cash,accepted,2021-03-07
377,1296,4,1000,Debit Card,rejected,2021-03-07
378,347,4,700,Debit Card,accepted,2021-03-07
379,41,4,500,Cash,rejected,2021-03-07
380,542,4,500,Debit Card,accepted,2021-03-07
381,91,4,500,Cash,accepted,2021-03-07
382,1674,4,1000,Paypal,accepted,2021-03-07
383,1572,4,500,Cash,accepted,2021-03-07
384,294,5,400,Paypal,rejected,2021-06-07
385,2433,5,300,Paypal,accepted,2021-06-07
386,908,5,400,Cash,accepted,2021-06-07
387,115,5,400,Cash,accepted,2021-06-07
388,1299,5,300,Paypal,accepted,2021-06-07
389,1795,5,300,Cash,accepted,2021-06-07
390,715,5,400,Cash,accepted,2021-06-07
391,1537,5,400,Paypal,accepted,2021-06-07
392,43,5,600,Cash,accepted,2021-06-07
393,1970,5,400,Paypal,accepted,2021-06-07
394,350,5,600,Cash,accepted,2021-06-07
395,870,5,300,Debit Card,accepted,2021-06-07
396,1106,5,600,Debit Card,accepted,2021-06-07
397,446,5,400,Debit Card,accepted,2021-06-07
398,1913,5,400,Debit Card,accepted,2021-06-07
399,1696,5,400,Paypal,rejected,2021-06-07
400,798,5,600,Paypal,accepted,2021-06-07
401,471,5,600,Paypal,accepted,2021-06-07
402,1595,5,600,Debit Card,rejected,2021-06-07
403,2281,5,600,Paypal,accepted,2021-06-07
404,2421,5,300,Debit Card,rejected,2021-06-07
405,805,5,300,Cash,accepted,2021-06-07
406,2137,5,400,Debit Card,accepted,2021-06-07
407,2484,5,600,Cash,accepted,2021-06-07
408,584,5,300,Cash,rejected,2021-06-07
409,290,5,400,Paypal,accepted,2021-06-07
410,1999,5,300,Cash,rejected,2021-06-07
411,482,5,300,Cash,accepted,2021-06-07
412,1445,5,400,Paypal,accepted,2021-06-07
413,2164,5,400,Cash,accepted,2021-06-07
414,575,5,600,Cash,accepted,2021-06-07
415,347,5,400,Debit Card,accepted,2021-06-07
416,27,5,400,Debit Card,accepted,2021-06-07
417,2210,5,300,Cash,rejected,2021-06-07
418,2155,5,400,Debit Card,accepted,2021-06-07
419,225,5,400,Debit Card,accepted,2021-06-07
420,650,5,600,Paypal,rejected,2021-06-07
421,1461,5,600,Debit Card,accepted,2021-06-07
422,1686,5,600,Cash,accepted,2021-06-07
423,1000,5,300,Cash,accepted,2021-06-07
424,939,5,600,Cash,accepted,2021-06-07
425,997,5,400,Debit Card,accepted,2021-06-07
426,33,5,600,Cash,accepted,2021-06-07
427,1391,5,300,Debit Card,accepted,2021-06-07
428,1396,5,400,Debit Card,rejected,2021-06-07
429,1080,5,300,Paypal,rejected,2021-06-07
430,404,5,600,Paypal,accepted,2021-06-07
431,2407,5,600,Paypal,rejected,2021-06-07
432,1781,5,400,Cash,accepted,2021-06-07
433,1045,5,600,Cash,rejected,2021-06-07
434,99,5,400,Debit Card,rejected,2021-06-07
435,1195,5,600,Cash,accepted,2021-06-07
436,1618,5,300,Cash,accepted,2021-06-07
437,2038,5,300,Debit Card,rejected,2021-06-07
438,1866,5,400,Paypal,accepted,2021-06-07
439,932,5,600,Debit Card,rejected,2021-06-07
440,63,5,400,Debit Card,accepted,2021-06-07
441,1092,5,400,Cash,accepted,2021-06-07
442,2048,5,300,Cash,rejected,2021-06-07
443,1967,5,600,Debit Card,accepted,2021-06-07
444,17,5,400,Cash,rejected,2021-06-07
445,643,5,600,Paypal,accepted,2021-06-07
446,541,5,300,Paypal,accepted,2021-06-07
447,2396,5,300,Cash,accepted,2021-06-07
448,2306,5,600,Debit Card,accepted,2021-06-07
449,2099,5,600,Cash,accepted,2021-06-07
450,663,5,600,Debit Card,accepted,2021-06-07
451,532,5,600,Cash,accepted,2021-06-07
452,1216,5,400,Cash,accepted,2021-06-07
453,1814,5,300,Cash,accepted,2021-06-07
454,62,5,300,Cash,rejected,2021-06-07
455,104,5,300,Cash,accepted,2021-06-07
456,1842,5,400,Debit Card,accepted,2021-06-07
457,628,5,400,Debit Card,rejected,2021-06-07
458,464,5,600,Debit Card,accepted,2021-06-07
459,2459,5,300,Debit Card,accepted,2021-06-07
460,897,5,600,Cash,accepted,2021-06-07
461,1865,5,600,Debit Card,accepted,2021-06-07
462,384,5,600,Cash,rejected,2021-06-07
463,2447,5,600,Cash,rejected,2021-06-07
464,2222,5,600,Paypal,rejected,2021-06-07
465,1113,5,300,Debit Card,accepted,2021-06-07
466,1424,5,400,Debit Card,accepted,2021-06-07
467,2138,5,300,Cash,accepted,2021-06-07
468,922,5,400,Cash,accepted,2021-06-07
469,283,5,400,Paypal,accepted,2021-06-07
470,1552,5,600,Debit Card,rejected,2021-06-07
471,866,5,600,Cash,accepted,2021-06-07
472,2061,5,600,Debit Card,accepted,2021-06-07
473,352,5,300,Paypal,accepted,2021-06-07
474,2073,5,600,Cash,accepted,2021-06-07
475,292,5,400,Paypal,accepted,2021-06-07
476,761,5,300,Cash,accepted,2021-06-07
477,941,5,600,Debit Card,accepted,2021-06-07
478,2169,5,400,Cash,accepted,2021-06-07
479,175,5,300,Paypal,accepted,2021-06-07
480,765,5,600,Cash,accepted,2021-06-07
481,1557,5,400,Cash,rejected,2021-06-07
482,744,5,600,Paypal,rejected,2021-06-07
483,377,5,300,Debit Card,accepted,2021-06-07
484,1606,5,600,Paypal,accepted,2021-06-07
485,587,5,600,Cash,accepted,2021-06-07
486,14,5,400,Debit Card,rejected,2021-06-07
487,671,5,400,Debit Card,accepted,2021-06-07
488,930,5,400,Paypal,accepted,2021-06-07
489,614,5,300,Cash,accepted,2021-06-07
490,433,5,400,Debit Card,accepted,2021-06-07
491,2239,5,600,Paypal,accepted,2021-06-07
492,273,5,300,Cash,accepted,2021-06-07
493,87,5,600,Debit Card,accepted,2021-06-07
494,1707,5,400,Cash,accepted,2021-06-07
495,1500,5,300,Cash,rejected,2021-06-07
496,724,5,400,Cash,accepted,2021-06-07
497,249,5,400,Cash,accepted,2021-06-07
498,105,5,600,Cash,accepted,2021-06-07
499,271,5,600,Cash,accepted,2021-06-07
500,2005,5,300,Cash,accepted,2021-06-07
501,1452,5,300,Cash,accepted,2021-06-07
502,2297,5,300,Cash,accepted,2021-06-07
503,2379,5,600,Cash,accepted,2021-06-07
504,372,5,400,Paypal,accepted,2021-06-07
505,112,5,600,Paypal,accepted,2021-06-07
506,1382,5,300,Paypal,accepted,2021-06-07
507,1645,5,300,Cash,rejected,2021-06-07
508,595,5,600,Debit Card,accepted,2021-06-07
509,370,5,300,Cash,accepted,2021-06-07
510,1447,5,300,Debit Card,accepted,2021-06-07
511,1501,5,400,Cash,accepted,2021-06-07
512,616,5,600,Cash,rejected,2021-06-07
513,365,5,600,Cash,accepted,2021-06-07
514,2132,5,600,Paypal,accepted,2021-06-07
515,1353,5,600,Debit Card,accepted,2021-06-07
516,534,5,300,Cash,accepted,2021-06-07
517,1069,5,600,Cash,accepted,2021-06-07
518,1001,5,300,Debit Card,accepted,2021-06-07
519,1123,5,300,Debit Card,accepted,2021-06-07
520,75,5,600,Debit Card,rejected,2021-06-07
521,2364,5,600,Paypal,accepted,2021-06-07
522,1359,5,600,Cash,rejected,2021-06-07
523,1925,5,300,Cash,accepted,2021-06-07
524,2032,5,300,Cash,accepted,2021-06-07
525,1380,5,300,Cash,accepted,2021-06-07
526,1296,5,600,Debit Card,accepted,2021-06-07
527,2189,5,600,Cash,accepted,2021-06-07
528,1514,5,600,Cash,accepted,2021-06-07
529,586,5,300,Debit Card,accepted,2021-06-07
530,1726,5,600,Debit Card,rejected,2021-06-07
531,2464,5,600,Debit Card,accepted,2021-06-07
532,1138,5,300,Cash,accepted,2021-06-07
533,1790,5,400,Debit Card,rejected,2021-06-07
534,237,5,600,Debit Card,rejected,2021-06-07
535,631,5,300,Cash,accepted,2021-06-07
536,454,5,600,Debit Card,accepted,2021-06-07
537,1578,5,600,Cash,accepted,2021-06-07
538,2263,5,300,Debit Card,rejected,2021-06-07
539,76,5,300,Debit Card,accepted,2021-06-07
540,2011,5,300,Paypal,accepted,2021-06-07
541,2304,5,400,Cash,accepted,2021-06-07
542,1134,5,300,Paypal,accepted,2021-06-07
543,1349,5,600,Paypal,accepted,2021-06-07
544,342,5,400,Debit Card,accepted,2021-06-07
545,1256,5,400,Debit Card,accepted,2021-06-07
546,893,5,300,Cash,rejected,2021-06-07
547,405,5,300,Paypal,accepted,2021-06-07
548,277,5,300,Cash,accepted,2021-06-07
549,1272,5,400,Debit Card,accepted,2021-06-07
550,1945,5,600,Debit Card,accepted,2021-06-07
551,1505,5,600,Cash,rejected,2021-06-07
552,2351,5,400,Cash,accepted,2021-06-07
553,855,5,600,Cash,rejected,2021-06-07
554,1471,5,600,Paypal,rejected,2021-06-07
555,679,5,600,Cash,rejected,2021-06-07
556,2264,5,400,Paypal,rejected,2021-06-07
557,492,5,400,Paypal,accepted,2021-06-07
558,278,5,400,Cash,accepted,2021-06-07
559,1773,5,400,Cash,rejected,2021-06-07
560,1715,5,600,Paypal,accepted,2021-06-07
561,460,5,300,Cash,rejected,2021-06-07
562,2226,5,600,Cash,accepted,2021-06-07
563,2287,5,300,Paypal,accepted,2021-06-07
564,1394,5,400,Paypal,accepted,2021-06-07
565,793,5,400,Debit Card,accepted,2021-06-07
566,580,5,600,Paypal,accepted,2021-06-07
567,817,5,300,Cash,accepted,2021-06-07
568,1414,5,300,Cash,rejected,2021-06-07
569,351,5,300,Paypal,accepted,2021-06-07
570,1699,5,300,Cash,accepted,2021-06-07
571,2129,5,400,Paypal,accepted,2021-06-07
